time,position_east(m),position_north(m),acceleration_east(m/s2),acceleration_north(m/s2)
268.0,-8246.212038193888,5740.292604552582,-0.2694488274864852,-0.3182609193027019
269.0,-8284.7966093492,5751.752103800885,-0.3021544938674196,-0.6857148064300418
270.0,-8323.795689760387,5761.990388706327,-0.4145092558756005,-1.2212143428623676
271.0,-8363.30527022446,5770.575843439437,-0.5105000528856181,-1.652830172330141
272.0,-8403.283394425234,5777.309455934912,-0.468543736700667,-1.851842237636447
273.0,-8443.582530641637,5782.567990448326,-0.3210120156290941,-1.4750779820606112
274.0,-8484.032115149836,5786.886109774932,-0.1504482917953282,-0.9404151868075132
275.0,-8524.507169557532,5790.759346051142,-0.0254698994976934,-0.4448830503970384
276.0,-8564.951800348383,5794.473451892845,0.0304236168449278,-0.1591304345056414
277.0,-8605.339780650393,5798.144037778489,0.0566504888411145,-0.0435199560597538
278.0,-8645.66914010854,5801.900790012442,0.0586208438617177,0.0861663483083248
279.0,-8685.938019687339,5805.933848963119,0.0604798793501686,0.2763067167252302
280.0,-8726.089735502057,5810.472383285873,0.1171637640800327,0.5054753720760345
281.0,-8766.073793031712,5815.958304004744,0.1676582850632257,0.9473863961175084
282.0,-8805.803507788805,5822.784779281355,0.2543427725613583,1.3405545577406883
283.0,-8845.194065453281,5831.180861740373,0.3391570926178247,1.569607182405889
284.0,-8884.131831088947,5841.383922964335,0.4527920288091991,1.8069787649437783
285.0,-8922.411264388065,5853.6532088927925,0.658332336548483,2.0662247044965625
286.0,-8959.931276120944,5867.986465794966,0.7594215662393253,2.063970973715186
287.0,-8996.591856857121,5884.229479573667,0.8594309967011213,1.909756876528263
288.0,-9032.30985093696,5902.237306071445,0.9425866563396994,1.764812719076872
289.0,-9067.155545486952,5921.705227160826,0.872299529844895,1.460094591602683
290.0,-9101.11222031954,5942.520377103239,0.8890197174041532,1.347228853031993
291.0,-9134.451405936676,5964.265800205059,0.617489215452224,0.9302731594070792
292.0,-9167.594813965408,5986.317297091708,0.195777588407509,0.306073784828186
293.0,-9200.769781069714,6008.353340198286,-0.0315590755781158,-0.0154537800699472
